Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV
Keegan Murray,UI,35,31.9,23.5,8.8,15.8,0.554,1.9,4.7,0.398,4.1,5.4,0.747,2.9,5.8,8.7,1.5,1.3,1.9,
Max Abmas,ORU,30,36.8,22.8,7.5,17.9,0.422,3.8,9.8,0.389,4,4.7,0.85,0.3,3.1,3.4,3.7,1,0.1,
Kofi Cockburn,U of I,28,30.7,20.9,8.1,13.6,0.593,0,0,0,4.8,7.3,0.655,3.4,7.2,10.6,0.8,0.8,1,
"Scotty Pippen, Jr.",VU,36,33,20.4,6.2,14.9,0.416,1.8,5.5,0.325,6.2,8.4,0.744,0.8,2.7,3.6,4.4,1.9,0.2,
Johnny Davis,UW,31,34.2,19.7,6.8,15.9,0.427,1.2,3.9,0.306,5,6.3,0.791,1.3,6.9,8.2,2.1,1.2,0.7,
E.J. Liddell,OSU,32,33.2,19.4,6.3,12.9,0.49,1.4,3.8,0.374,5.3,6.9,0.765,2.3,5.7,7.9,2.5,0.6,2.5,
Julian Champagnie,STJ,31,34.3,19.2,7.1,17.2,0.414,2.1,6.2,0.337,2.9,3.7,0.781,1.4,5.3,6.6,2,2,1.1,
Buddy Boeheim,SU,32,37.8,19.2,6.7,16.4,0.406,2.8,8,0.342,3.1,3.5,0.884,0.6,2.8,3.4,3.1,1.5,0.1,
Taevion Kinsey,MU,31,37,19.1,7.1,16.5,0.429,0.5,3,0.183,4.4,5.9,0.745,2.2,2.9,5.1,4.2,1,0.1,
Ochai Agbaji,KU,39,35,18.8,6.6,13.9,0.475,2.6,6.5,0.409,2.9,3.9,0.743,0.8,4.2,5.1,1.6,0.9,0.6,
Drew Timme,GU,32,28.1,18.4,7.3,12.4,0.586,0.3,0.9,0.286,3.7,5.4,0.678,1.8,4.9,6.8,2.8,0.3,0.8,
Trayce Jackson-Davis,IU,35,32.3,18.3,7,11.9,0.589,0,0.1,0,4.2,6.2,0.674,2.2,5.9,8.1,1.9,0.6,2.3,
Bennedict Mathurin,U of A,37,32.6,17.7,5.9,13.1,0.45,2.2,6.1,0.369,3.7,4.8,0.764,1.4,4.2,5.6,2.5,1,0.3,
Iverson Molinar,MSU,34,34.1,17.5,6,13.3,0.454,0.8,3.1,0.252,4.6,5.4,0.868,0.5,2.6,3.1,3.6,1.2,0.4,
Jaden Ivey,PU,36,31.5,17.3,5.6,12.3,0.46,1.8,5,0.358,4.3,5.8,0.744,0.7,4.2,4.9,3.1,0.9,0.6,
Paolo Banchero,DUKE,39,33,17.2,6.3,13.2,0.478,1.1,3.3,0.338,3.5,4.8,0.729,1.7,6.1,7.8,3.2,1.1,0.9,
Jabari Smith II,AU,34,28.8,16.9,5.4,12.6,0.429,2.3,5.5,0.42,3.9,4.8,0.799,0.9,6.5,7.4,2,1.1,1,
Justin Lewis,MU,32,32.2,16.8,6.1,13.8,0.44,1.8,5.2,0.349,2.8,3.7,0.761,1.2,6.8,7.9,1.7,1.1,0.6,
"Kenny Lofton, Jr.",LTU,33,27,16.5,6.3,11.7,0.539,0.1,0.6,0.2,3.7,5.5,0.672,3.3,7.2,10.5,2.8,1.2,0.7,
Caleb Love,UNC,39,34.1,15.9,5.1,13.7,0.371,2.4,6.6,0.36,3.4,3.9,0.863,0.2,3.2,3.4,3.6,0.9,0.2,
Hyunjung Lee,DAV,34,32.1,15.8,5.4,11.3,0.474,2.4,6.2,0.381,2.8,3.6,0.777,0.8,5.2,6,1.9,0.7,0.3,
Johnny Juzang,UCLA,30,31.7,15.6,6,13.8,0.432,1.5,4.2,0.36,2.2,2.6,0.835,0.8,4,4.7,1.8,0.7,0.1,
"Mike Miles, Jr.",TCU,31,33.5,15.4,5.3,13.8,0.382,1.4,4.7,0.295,3.5,4.5,0.759,0.3,3.3,3.5,3.8,1.2,0.2,
Isaiah Wong,UM,37,33.8,15.3,5.6,12.4,0.452,1.3,4.3,0.302,2.8,3.8,0.748,0.6,3.6,4.3,2,0.9,0.3,
Tyson Etienne,WSU,27,34.3,14.9,4.9,13.7,0.359,2.7,8.3,0.326,2.3,3,0.768,0.4,2.4,2.9,2,1.1,0,
Eric Ayala,UMD,31,33.4,14.7,4.9,12.9,0.383,2.4,7,0.339,2.4,3.5,0.688,0.4,4.3,4.6,2.1,0.8,0.1,
Jabari Walker,CU,33,28.1,14.6,4.8,10.5,0.461,1.1,3.2,0.346,3.8,4.9,0.784,2.1,7.3,9.4,1.2,0.7,0.7,
Zach Edey,PU,37,19,14.4,5.7,8.8,0.648,0,0,0,3.1,4.7,0.649,3.2,4.5,7.7,1.2,0.2,1.2,
Will Richardson,UO,30,32.4,14.1,4.9,10.9,0.454,1.9,4.9,0.388,2.4,3.1,0.772,0.9,2.8,3.7,3.6,1.3,0,
Chet Holmgren,GU,32,26.9,14.1,5.3,8.8,0.607,1.3,3.3,0.39,2.2,3.1,0.717,1.8,8.1,9.9,1.9,0.8,3.7,
Christian Braun,KU,40,34.3,14.1,5.2,10.5,0.495,1.3,3.3,0.386,2.5,3.4,0.733,1.4,5.1,6.5,2.8,1,0.8,
Hugo Besson,NZB,25,27.4,13.9,4.7,12.1,0.386,1.9,6.2,0.308,2.6,3.3,0.795,0.5,3.4,4,2.3,0.6,0,
"Jaime Jaquez, Jr.",UCLA,34,30.4,13.9,5.1,10.9,0.472,0.6,2.2,0.276,3,3.9,0.761,1.7,4,5.7,2.3,1.1,0.3,
Kennedy Chandler,UT,34,30.8,13.9,5.4,11.5,0.464,1.4,3.8,0.383,1.8,2.9,0.606,0.7,2.6,3.2,4.7,2.2,0.2,
Azuolas Tubelis,U of A,36,24.5,13.9,5.4,10.1,0.54,0.3,1.1,0.263,2.7,4,0.669,1.9,4.3,6.2,2.3,1.1,0.7,
Jahvon Quinerly,UA,33,30,13.8,5,12.2,0.411,1.5,5.4,0.281,2.3,3.2,0.74,0.3,2.6,3,4.2,0.7,0.2,
Adam Flagler,BU,31,30.7,13.8,5,11.5,0.438,2.4,6.3,0.387,1.3,1.7,0.741,0.6,1.6,2.2,3,1.1,0.1,
Darius Days,LSU,33,29.8,13.7,5,11.5,0.434,2.1,6,0.35,1.7,2.4,0.7,2.1,5.8,7.8,0.9,1.5,0.3,
"Wendell Moore, Jr.",DUKE,39,33.9,13.4,4.8,9.6,0.5,1.3,3.2,0.413,2.4,3,0.805,1.2,4.1,5.3,4.4,1.4,0.2,
Donta Scott,UMD,32,33.3,12.6,4.5,10.5,0.427,1.2,4.2,0.291,2.4,3,0.8,1.7,4.5,6.2,1.2,0.8,0.8,
"TyTy Washington, Jr.",UK,31,29.1,12.5,4.9,10.9,0.451,1.2,3.3,0.35,1.5,2.1,0.75,0.6,2.8,3.5,3.9,1.3,0.2,
Boogie Ellis,USC,33,29.8,12.5,4.3,10.4,0.417,1.7,4.5,0.376,2.2,2.7,0.798,0.5,2.8,3.3,2.4,0.8,0.2,
Pavel Savkov,ISB,32,23.1,12.3,4.1,9.7,0.427,1.8,4.8,0.386,2.2,2.6,0.843,0.4,2.2,2.5,1.3,0.8,0.1,
Matteo Spagnolo,CRE,25,27,12.2,4.3,9.7,0.44,1.2,2.7,0.441,2.5,2.9,0.861,0.6,2.9,3.5,2.6,0.8,0,
Keon Ellis,UA,33,30.9,12.1,3.7,8.4,0.439,2,5.5,0.366,2.7,3.1,0.881,1.9,4.2,6.1,1.8,1.9,0.6,
"Patrick Baldwin, Jr.",UWM,11,28.5,12.1,4.1,11.9,0.344,1.5,5.8,0.266,2.4,3.2,0.743,0.9,4.9,5.8,1.5,0.8,0.8,
Nikola Jovic,MEG,29,28.5,12,4.2,10.2,0.414,1.6,5,0.315,1.9,2.7,0.718,1,3.8,4.8,3.6,0.7,0.4,
Jalen Duren,UM,29,25.2,12,4.9,8.1,0.597,0,0,0,2.2,3.6,0.625,3,5.2,8.1,1.3,0.8,2.1,
Andrew Nembhard,GU,32,32.1,11.8,4.4,9.7,0.452,1.6,4.2,0.383,1.5,1.7,0.873,0.4,2.9,3.4,5.8,1.6,0.1,
Trevor Keels,DUKE,36,30.2,11.5,4.1,9.8,0.419,1.5,4.8,0.312,1.8,2.7,0.67,0.8,2.6,3.4,2.7,1.2,0.1,
Walker Kessler,AU,34,25.5,11.4,4.8,7.9,0.608,0.3,1.5,0.2,1.6,2.6,0.596,2.6,5.4,8.1,0.9,1.1,4.6,
Marcus Carr,UT,34,30.8,11.4,3.8,9.6,0.394,1.4,4.1,0.338,2.4,3.2,0.769,0.3,1.7,1.9,3.4,0.9,0.1,
Osun Osunniyi,STBN,32,30.7,11.3,4.8,7.9,0.613,0,0.1,0.5,1.6,2.4,0.641,2.7,4.8,7.5,1.5,0.5,2.9,
Ismael Kamagate,PAR,34,27.1,11.3,4.4,6.8,0.643,0,0,0,2.6,3.9,0.654,2.4,3.9,6.3,0.7,0.7,1.6,
Mark Williams,DUKE,39,23.5,11.2,4.9,6.8,0.721,0,0,0,1.4,2,0.727,2.6,4.8,7.4,0.9,0.5,2.8,
Jalen Wilson,KU,37,29.4,11.1,4,8.7,0.461,0.8,3.1,0.263,2.2,3.1,0.722,1.6,5.8,7.4,1.8,0.9,0.4,
Roko Prkacin,CIB,51,24.6,10.9,4,8.1,0.496,0.6,2.1,0.286,2.2,3.6,0.602,2.1,4.1,6.2,1.8,0.8,0.3,
Gui Santos,MIN,46,25.8,10.5,3.7,8.2,0.45,1,3.1,0.326,2.1,2.9,0.729,1.1,3.9,5,2.2,0.8,0.8,
"Terrence Shannon, Jr.",TTU,26,25,10.4,3.5,7.6,0.455,1.3,3.3,0.384,2.2,2.8,0.784,0.5,2.1,2.6,2,0.8,0.2,
Yoan Makoundou,CHO,36,23,10.4,4.1,7.5,0.542,0.7,1.8,0.369,1.6,2.1,0.76,1.6,3.7,5.3,0.8,0.6,1.1,
"A.J. Griffin, Jr.",DUKE,39,23.9,10.4,3.7,7.6,0.493,1.8,4.1,0.447,1.1,1.4,0.792,0.8,3.2,3.9,1,0.5,0.6,
Devante' Jones,UM,33,28.7,10.3,3.8,8.2,0.463,0.8,2.4,0.342,1.8,2.3,0.792,1.1,3.5,4.5,4.6,0.9,0.1,
